Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Gender motivation?,Size category,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,Capital city
Lebanon,October Movement,19-Oct,Partly free,"Introduction of taxes on tobacco, petrol, and WhatsApp voice calls. After August 2020, the protests were invigorated by the Beirut Port explosion.","High youth unemployment and a currency crisis, income inequality, poor service delivery, and political nepotism and corruption due to sectarianism.",">1,000,000",General public.,4 years,"In October 2019, the government of Prime Minister Saad Hariri resigned. Protests continued under his successor, Hassan Diab, whose government resigned after the Beirut blast of 2020. In September 2021, Najib Mikati became prime minister. Protests have not occurred since the war between Israel and Hamas began.",,X,X,X,,Over 1 million,X,X,X,X,,Beirut
Pakistan,Islamabad sit-in protests,19-Oct,Partly free,Antigovernment march from Karachi to Islamabad to hold a sit-in on the capital’s main highway.,"Economic crisis, rising inflation, and suspicion that the 2018 election was rigged.","20,000",General public.,2 weeks,No policy/leadership change in response to the protests.,,,X,,,Tens of thousands,X,,,,,Islamabad
South Korea,Justice minister protests,19-Oct,Free,"Allegations of corruption against the then justice minister, Cho Kuk, who had pushed for prosecutorial reforms.",Government corruption and public distrust of prosecutors.,">100,000","General public, but particularly right-wing activists.",2 months,Then justice minister Cho resigned.,,X,,,,Thousands,X,,,,,Seoul
Spain,Catalan independence protests,19-Oct,Free,Sentencing of Catalan separatist leaders to prison.,"Catalan independence, dissatisfaction with the government response to the independence movement, and belief that Catalonia should retain more of its own tax revenues.","600,000",Supporters of the former prime minister.,2 months,"No policy/leadership change in response to the protests. After winning support from Catalan separatist party, Prime Minister Pedro Sánchez promised to resolve the Catalan dispute through dialogue.",,X,X,,,Thousands,,,X,,,Madrid
Sudan,National Congress Party protests,19-Oct,Not free,Lack of punitive action against members of former president Omar Bashir’s inner circle.,Frustration over the ongoing influence of members of Bashir’s National Congress Party and impunity for perpetrators of protest crackdowns.,">1,000",General public.,2 months,The government dissolved the National Congress Party.,,,X,,,Thousands,,,,,,Khartoum
Ukraine,Peace plan protests,19-Oct,Partly free,President Volodymyr Zelensky’s decision to grant special status to a separatist region in eastern Ukraine as part of a larger deal with Moscow.,Opposition to policy changes regarding Russia.,"20,000","People’s Vote campaign, pro-EU groups, general public.",1 week,No policy/leadership change in response to the protests.,,,X,,,Hundreds,X,,,,X,Kyiv
Afghanistan,Electoral protests,19-Nov,Not free,Delays in the announcement of final vote counts from the September 2019 presidential election.,"Concerns about electoral fraud and controversy over an electoral recount, which looked to favor incumbent President Ashraf Ghani.",">1,000",Supporters of opposition presidential candidate Abdullah Abdullah.,2 months,No policy/leadership change in response to protests.,,,X,X,,Thousands,,,,,X,Kabul
Chad,Human rights judgment protests,19-Nov,Not free,Recurring delays in the receipt of compensation packages for human rights abuses ordered by the African Union.,Frustration over the lack of reckoning with human rights abuses perpetrated by the former regime of president Hissène Habré.,>500,Relatives of those injured or killed by the Habré government.,1 week,No policy/leadership change in response to protests.,,,X,,,Thousands,,,X,,,N'Djamena
Colombia,National strikes,19-Nov,Partly free,"Rumored pensions cuts, implementation challenges of the country’s peace deal, and rising violence.","Disapproval of President Iván Duque Márquez’s government, rising economic inequality, corruption, and militarized response to protests.",">1,000,000","Students, unions, leftist groups, and indigenous groups.",4 months,No policy/leadership change in response to the protests.,,,X,,,Tens of thousands,,,,,,Bogota
Croatia,Teachers’ strike,19-Nov,Free,Government rejection of teachers’ unions’ salary demands.,Low compensation of education workers.,"20,000","Members of teachers’ unions, teachers, children.",1 month,Government reached a wage agreement with teachers.,,X,X,,,Tens of thousands,,,X,X,,Zagreb
Iran,Fuel hike protests,19-Nov,Not free,Increase in gasoline prices due to the growing budget deficit.,Economic challenges (growing budget deficit and high inflation) and discontent toward political leaders.,"200,000",Low-income and working-class families.,1 month,No policy/leadership change in response to the protests.,,,X,,,Tens of thousands,,,,,,Tehran
Kuwait,Corruption protests,19-Nov,Partly free,Allegations of corruption against parliament speaker Marzouq al-Ghanim.,Frustration over entrenched corruption.,">1,000","General public, including former and current members of parliament.",1 week,No policy/leadership change in response to protests.,,X,X,,,Tens of thousands,,,,,,Kuwait City
Kyrgyzstan,Corruption report protests,19-Nov,Not free,Circulation of a report that alleged that over $700 million in public funds had been misappropriated in a money laundering operation.,Anger over corruption and poor infrastructure.,>500,General public.,1 week,No policy/leadership change in response to protests.,,,X,X,,Tens of thousands,,,,,X,Bishkek
Malta,“Mafia state” protests,19-Nov,Free,Developments in the investigation of the 2017 death of a journalist.,"Then prime minister Joseph Muscat’s influence over law enforcement and judicial systems, and corruption among political leaders.","4,000","Women, feminist organizations.",2 months,Muscat resigned.,,X,,,,Tens of thousands,,,,,,Valletta
Brazil,Education cuts protests,19-May,Free,Cuts in education spending and postgraduate scholarships.,Economic challenges and government attacks on public education.,">100,000","Students, teachers, teachers’ unions.",3 months,No policy/leadership change in response to the protests.,,,X,,,Thousands,X,,X,,,Brasilia
Eswatini,Pro-democracy protests,19-May,Not free,Calls for protests by pro-democracy opposition groups.,Concern over the consolidation of power under King Mswati III and the lack of genuine political representation.,">1,000",General public; opposition groups.,1 week,No policy/leadership change in response to protests.,,X,,X,,Tens of thousands,X,,X,X,,Mbabane
Malawi,Election fraud protests,19-May,Partly free,"Suspicions that the May 2019 election, which President Peter Mutharika won by only 159,000 votes, was rigged.",Election fraud and bribery.,"100,000",Opposition party leaders and their supporters.,10 months,"No policy/leadership change in response to the protests. The opposition challenged the election results in the court for the first time in Malawi’s history. Despite attempts by Mutharika’s supporters to bribe judges on the Constitutional Court, the court nullified the results of the presidential elections, citing irregularities. Electoral commissioners have refused to step down.",,,X,,,Thousands,,,,,X,Lilongwe
Somalia,Examination protest,19-May,Not free,"The leakage of information on the unified national secondary school exam on social media, and an announcement that the exams would be rescheduled.",Anger over poor service delivery and the failure to administer the exam.,">1,000","General public, especially students.",1 week,No policy/leadership change in response to protests.,,,X,,,Thousands,,,,,,Mogadishu
Benin,Election protests,19-Mar,Free,"Exclusion of five opposition parties from legislative elections, and consequent electoral victory of government-aligned political parties.",Growing authoritarianism and crackdown on political opponents and media.,">1,000",Political supporters of former president Thomas Yayi.,4 months,No policy/leadership change in response to the protests.,,X,X,X,,Over 1 million,,X,X,X,,Porto-Novo
Comoros,Electoral protests,19-Mar,Partly free,Allegations of ballot stuffing and the improper transport of ballot boxes during the 2019 presidential election.,Concerns about the lack of electoral integrity and the entrenchment of President Azali Assoumani.,">1,000","General public, especially supporters of the political opposition.",1 week,No policy/leadership change in response to protests.,,X,X,,,Hundreds of thousands,,X,,,,Moroni
